,Date,Open,High,Low,Close,Adj Close,Volume,year,month
4508,2015-04-16,383.690002,387.450012,383.549988,386.040009,386.040009,2080400,2015,4
4509,2015-04-17,382.630005,383.559998,374.399994,375.559998,375.559998,3839700,2015,4
4510,2015-04-20,378.549988,391.940002,377.0,389.51001,389.51001,5016100,2015,4
4511,2015-04-21,391.309998,394.600006,386.799988,391.179993,391.179993,4643500,2015,4
4512,2015-04-22,391.910004,394.27999900000003,388.0,389.799988,389.799988,3474700,2015,4
4513,2015-04-23,390.209991,391.880005,386.149994,389.98999,389.98999,7980000,2015,4
4514,2015-04-24,439.0,452.64999400000005,439.0,445.10000599999995,445.10000599999995,17176900,2015,4
4515,2015-04-27,443.85998499999994,446.98999000000003,437.410004,438.55999800000006,438.55999800000006,5430900,2015,4
4516,2015-04-28,438.51000999999997,439.0,428.040009,429.30999800000006,429.30999800000006,4140500,2015,4
4517,2015-04-29,426.75,434.23999000000003,426.02999900000003,429.369995,429.369995,3621700,2015,4
4518,2015-04-30,427.10998499999994,431.75,419.23999,421.77999900000003,421.77999900000003,3647900,2015,4
4519,2015-05-01,423.82000700000003,425.64001500000006,416.0,422.869995,422.869995,3565800,2015,5
4520,2015-05-04,424.799988,429.76998899999995,422.420013,423.040009,423.040009,2270400,2015,5
4521,2015-05-05,422.85000599999995,427.51000999999997,421.01998899999995,421.19000199999994,421.19000199999994,2856400,2015,5
4522,2015-05-06,421.42999299999997,422.72000099999997,414.549988,419.100006,419.100006,2552500,2015,5
4523,2015-05-07,424.14999400000005,428.5,422.85000599999995,426.880005,426.880005,2766100,2015,5
4524,2015-05-08,430.75,435.200012,430.170013,433.69000199999994,433.69000199999994,2908800,2015,5
4525,2015-05-11,432.51000999999997,439.0,431.369995,432.85000599999995,432.85000599999995,2393700,2015,5
4526,2015-05-12,431.079987,433.25,426.709991,431.01998899999995,431.01998899999995,1947800,2015,5
4527,2015-05-13,429.98001100000005,433.52999900000003,425.799988,426.869995,426.869995,1996300,2015,5
4528,2015-05-14,429.450012,433.0,427.01000999999997,432.27999900000003,432.27999900000003,1888500,2015,5
4529,2015-05-15,428.0,430.39999400000005,424.299988,426.0,426.0,4240300,2015,5
