,Date,Open,High,Low,Close,Adj Close,Volume,year,month
4247,2014-04-02,345.98999,348.299988,340.380005,341.959991,341.959991,4475500,2014,4
4248,2014-04-03,341.820007,342.5,328.459991,333.619995,333.619995,6399300,2014,4
4249,2014-04-04,335.149994,335.440002,315.609985,323.0,323.0,12534600,2014,4
4250,2014-04-07,320.98999,324.940002,313.130005,317.76001,317.76001,7077400,2014,4
4251,2014-04-08,321.880005,328.0,318.440002,327.070007,327.070007,6577600,2014,4
4252,2014-04-09,328.47000099999997,332.179993,322.5,331.809998,331.809998,5056600,2014,4
4253,2014-04-10,330.600006,331.0,316.5,317.109985,317.109985,6126700,2014,4
4254,2014-04-11,314.0,316.5,309.5,311.730011,311.730011,7287500,2014,4
4255,2014-04-14,317.670013,320.480011,311.27999900000003,315.910004,315.910004,4293500,2014,4
4256,2014-04-15,316.700012,318.27999900000003,305.5,316.079987,316.079987,5398600,2014,4
4257,2014-04-16,321.170013,324.0,314.709991,323.679993,323.679993,4284900,2014,4
4258,2014-04-17,319.76001,328.660004,319.76001,324.910004,324.910004,4299200,2014,4
4259,2014-04-21,323.97000099999997,331.149994,322.309998,330.869995,330.869995,2999400,2014,4
4260,2014-04-22,332.0,337.5,328.940002,329.320007,329.320007,3711600,2014,4
4261,2014-04-23,333.059998,333.130005,323.390015,324.579987,324.579987,3604600,2014,4
4262,2014-04-24,329.670013,337.399994,322.950012,337.149994,337.149994,9293700,2014,4
4263,2014-04-25,316.25,316.48999,302.709991,303.829987,303.829987,16180200,2014,4
4264,2014-04-28,304.0,304.390015,288.0,296.579987,296.579987,14479800,2014,4
4265,2014-04-29,296.440002,301.839996,290.450012,300.380005,300.380005,6509300,2014,4
4266,2014-04-30,298.100006,304.559998,298.100006,304.130005,304.130005,4088600,2014,4
4267,2014-05-01,304.130005,310.480011,304.0,307.890015,307.890015,4328600,2014,5
4268,2014-05-02,310.420013,313.290009,304.309998,308.01001,308.01001,3995100,2014,5
4269,2014-05-05,306.369995,310.230011,305.0,310.049988,310.049988,2519900,2014,5
4270,2014-05-06,309.52999900000003,309.809998,297.040009,297.380005,297.380005,4682300,2014,5
4271,2014-05-07,295.559998,296.399994,286.679993,292.709991,292.709991,7015200,2014,5
4272,2014-05-08,290.820007,295.880005,287.230011,288.320007,288.320007,3848200,2014,5
4273,2014-05-09,290.570007,293.679993,284.380005,292.23999,292.23999,4063000,2014,5
4274,2014-05-12,294.299988,303.339996,294.160004,302.859985,302.859985,3729600,2014,5
4275,2014-05-13,302.600006,305.600006,300.75,304.640015,304.640015,3509900,2014,5
4276,2014-05-14,302.5,304.640015,296.660004,297.619995,297.619995,3323300,2014,5
4277,2014-05-15,298.019989,299.200012,290.380005,295.190002,295.190002,4295100,2014,5
4278,2014-05-16,292.799988,298.880005,291.549988,297.700012,297.700012,3636800,2014,5
4279,2014-05-19,295.76001,299.0,293.809998,296.76001,296.76001,2284200,2014,5
4280,2014-05-20,297.100006,304.459991,296.75,301.190002,301.190002,4095700,2014,5
4281,2014-05-21,302.209991,305.959991,301.519989,305.01001,305.01001,3408800,2014,5
4282,2014-05-22,305.049988,308.540009,303.01001,304.910004,304.910004,2576800,2014,5
4283,2014-05-23,305.459991,312.350006,304.899994,312.23999,312.23999,3052900,2014,5
4284,2014-05-27,314.410004,314.630005,307.380005,310.820007,310.820007,4862100,2014,5
4285,2014-05-28,309.5,313.820007,307.420013,310.160004,310.160004,2726000,2014,5
4286,2014-05-29,310.420013,314.869995,310.200012,313.77999900000003,313.77999900000003,2365500,2014,5
4287,2014-05-30,314.429993,314.649994,307.570007,312.549988,312.549988,4260200,2014,5
4288,2014-06-02,312.589996,312.600006,307.0,308.839996,308.839996,2203400,2014,6
4289,2014-06-03,305.75,307.920013,305.070007,307.190002,307.190002,2379200,2014,6
4290,2014-06-04,306.850006,309.5,303.839996,306.77999900000003,306.77999900000003,2107100,2014,6
4291,2014-06-05,308.100006,327.940002,306.899994,323.570007,323.570007,7796700,2014,6
4292,2014-06-06,325.0,330.880005,324.929993,329.670013,329.670013,5244000,2014,6
4293,2014-06-09,331.570007,333.0,325.649994,327.5,327.5,3212200,2014,6
4294,2014-06-10,327.649994,335.5,327.5,332.410004,332.410004,3663400,2014,6
4295,2014-06-11,336.0,340.72000099999997,333.880005,335.200012,335.200012,4436800,2014,6
4296,2014-06-12,335.549988,335.549988,324.660004,325.910004,325.910004,4276300,2014,6
4297,2014-06-13,327.049988,329.299988,323.52999900000003,326.269989,326.269989,2764800,2014,6
4298,2014-06-16,324.859985,328.690002,323.519989,327.619995,327.619995,2449800,2014,6
4299,2014-06-17,327.540009,331.339996,325.230011,325.619995,325.619995,2924100,2014,6
4300,2014-06-18,328.0,335.75,325.0,334.380005,334.380005,6401500,2014,6
4301,2014-06-19,335.26001,338.899994,325.980011,327.0,327.0,5320600,2014,6
4302,2014-06-20,327.76001,328.22000099999997,320.420013,324.200012,324.200012,6054000,2014,6
4303,2014-06-23,323.329987,327.549988,321.410004,327.23999,327.23999,2604800,2014,6
4304,2014-06-24,327.540009,329.730011,322.73999,324.160004,324.160004,2626600,2014,6
4305,2014-06-25,324.329987,328.149994,321.73999,327.440002,327.440002,2327800,2014,6
4306,2014-06-26,328.48999,328.649994,322.130005,325.690002,325.690002,2699500,2014,6
4307,2014-06-27,325.880005,326.519989,323.269989,324.570007,324.570007,2416200,2014,6
4308,2014-06-30,324.980011,326.980011,322.23999,324.77999900000003,324.77999900000003,2671300,2014,6
4309,2014-07-01,325.859985,333.200012,325.100006,332.390015,332.390015,3173600,2014,7
4310,2014-07-02,333.200012,336.76001,331.660004,332.850006,332.850006,2681300,2014,7
4311,2014-07-03,334.829987,338.299988,333.079987,337.48999,337.48999,1944300,2014,7
4312,2014-07-07,337.5,337.549988,332.519989,333.549988,333.549988,2128900,2014,7
4313,2014-07-08,333.100006,333.73999,321.399994,323.809998,323.809998,4271600,2014,7
4314,2014-07-09,324.709991,330.200012,323.149994,329.97000099999997,329.97000099999997,3166100,2014,7
4315,2014-07-10,324.339996,329.980011,322.649994,327.920013,327.920013,2665000,2014,7
4316,2014-07-11,334.709991,347.0,334.709991,346.200012,346.200012,8300800,2014,7
4317,2014-07-14,347.02999900000003,355.769989,345.359985,355.320007,355.320007,5609900,2014,7
4318,2014-07-15,353.72000099999997,355.589996,349.399994,354.440002,354.440002,4170900,2014,7
4319,2014-07-16,355.619995,359.320007,353.0,355.899994,355.899994,3503600,2014,7
4320,2014-07-17,353.440002,356.959991,351.380005,352.450012,352.450012,3636000,2014,7
4321,2014-07-18,354.399994,359.679993,352.079987,358.660004,358.660004,3407400,2014,7
4322,2014-07-21,358.100006,361.709991,356.72000099999997,359.76001,359.76001,2278400,2014,7
4323,2014-07-22,355.25,362.929993,355.25,360.839996,360.839996,2888900,2014,7
4324,2014-07-23,359.049988,360.630005,356.619995,358.140015,358.140015,2687300,2014,7
4325,2014-07-24,359.980011,364.850006,358.519989,358.609985,358.609985,7088700,2014,7
4326,2014-07-25,317.299988,324.869995,314.76001,324.01001,324.01001,17846500,2014,7
4327,2014-07-28,324.25,324.820007,316.5,320.410004,320.410004,5932000,2014,7
4328,2014-07-29,321.980011,322.899994,319.5,320.0,320.0,2883800,2014,7
4329,2014-07-30,321.450012,322.730011,318.5,322.51001,322.51001,3969000,2014,7
4330,2014-07-31,320.01001,320.679993,311.859985,312.98999,312.98999,5192000,2014,7
4331,2014-08-01,313.690002,315.829987,304.589996,307.059998,307.059998,7441500,2014,8
4332,2014-08-04,308.839996,316.179993,308.5,313.649994,313.649994,4200900,2014,8
4333,2014-08-05,313.299988,314.549988,310.059998,312.320007,312.320007,2852100,2014,8
