,Date,Open,High,Low,Close,Adj Close,Volume,year,month
1025,1985-01-02,0.130022,0.130022,0.12444200000000001,0.12444200000000001,0.098179,175302400.0,1985,1
1026,1985-01-03,0.126674,0.130022,0.126674,0.126674,0.09994,166611200.0,1985,1
1027,1985-01-04,0.126674,0.12723199999999998,0.125,0.126674,0.09994,137267200.0,1985,1
1028,1985-01-07,0.126674,0.12723199999999998,0.126116,0.126116,0.0995,170912000.0,1985,1
1029,1985-01-08,0.126116,0.12723199999999998,0.125,0.125,0.09861900000000001,141120000.0,1985,1
1030,1985-01-09,0.128348,0.130022,0.128348,0.128348,0.101261,166723200.0,1985,1
1031,1985-01-10,0.133929,0.134487,0.133929,0.133929,0.10566400000000001,277065600.0,1985,1
1032,1985-01-11,0.133929,0.135045,0.131696,0.13281300000000001,0.10478299999999999,205049600.0,1985,1
1033,1985-01-14,0.136719,0.13783499999999999,0.136719,0.136719,0.107865,270435200.0,1985,1
1034,1985-01-15,0.136719,0.138951,0.133929,0.133929,0.10566400000000001,264969600.0,1985,1
1035,1985-01-16,0.135045,0.137277,0.135045,0.135045,0.106544,189884800.0,1985,1
1036,1985-01-17,0.135045,0.137277,0.125558,0.125558,0.09906000000000001,547523200.0,1985,1
1037,1985-01-18,0.125558,0.13058,0.125,0.12779000000000001,0.10082100000000001,352665600.0,1985,1
1038,1985-01-21,0.13058,0.131696,0.13058,0.13058,0.103022,325427200.0,1985,1
1039,1985-01-22,0.134487,0.135045,0.134487,0.134487,0.10610399999999999,424838400.0,1985,1
1040,1985-01-23,0.134487,0.135045,0.13225399999999998,0.13225399999999998,0.104343,430505600.0,1985,1
1041,1985-01-24,0.13225399999999998,0.13225399999999998,0.12946400000000002,0.12946400000000002,0.102142,397062400.0,1985,1
1042,1985-01-25,0.12946400000000002,0.13225399999999998,0.126674,0.13225399999999998,0.104343,318460800.0,1985,1
1043,1985-01-28,0.135045,0.136719,0.135045,0.135045,0.106544,412182400.0,1985,1
1044,1985-01-29,0.135045,0.13616099999999998,0.13337100000000002,0.13337100000000002,0.105223,223731200.0,1985,1
1045,1985-01-30,0.13337100000000002,0.13616099999999998,0.13337100000000002,0.13337100000000002,0.105223,492441600.0,1985,1
1046,1985-01-31,0.13337100000000002,0.133929,0.12946400000000002,0.12946400000000002,0.102142,276236800.0,1985,1
